Region,Activity,Percentage response
Hampton Roads,Ice skating (outdoor),5.00%
Hampton Roads,Other snow/ice-dependent activities,1.00%
Hampton Roads,Freshwater fishing,22.00%
Hampton Roads,Saltwater fishing,25.00%
Hampton Roads,Sunbathing/relaxing on a beach,47.00%
Hampton Roads,Jet ski/personal watercraft,4.00%
Hampton Roads,Powerboating,10.00%
Hampton Roads,Sailing,4.00%
Hampton Roads,Sail boarding,1.00%
Hampton Roads,Canoeing/kayaking,18.00%
Hampton Roads,Water skiing or towed on water,4.00%
Hampton Roads,Whitewater rafting (guided or solo),2.00%
Hampton Roads,Tubing on water,7.00%
Hampton Roads,Swimming/outdoor pool,48.00%
Hampton Roads,Swimming/beach/lake river (open water),35.00%
Hampton Roads,Crew rowing,1.00%
Hampton Roads,Surfing,6.00%
Hampton Roads,Paddleboarding,8.00%
Hampton Roads,Kiteboarding,0.00%
Hampton Roads,Splash pads,4.00%
Hampton Roads,Viewing the water,43.00%
Hampton Roads,Other water-dependent activities,3.00%
Hampton Roads,Tennis,11.00%
Hampton Roads,Basketball,18.00%
Hampton Roads,Pickle ball,1.00%
Hampton Roads,Shuffleboard,0.00%
Hampton Roads,18-hole golf,18.00%
Hampton Roads,Par-3 golf,4.00%
Hampton Roads,Driving range,12.00%
Hampton Roads,Disc golf,4.00%
Hampton Roads,Racquetball,2.00%
Hampton Roads,Squash,0.00%
Hampton Roads,Miniature golf,14.00%
Hampton Roads,Archery,2.00%
Hampton Roads,Shooting range,17.00%
Hampton Roads,Other activities on courts & golf,1.00%
Hampton Roads,"Visiting working farms, petting zoos, corn mazes, etc. ",32.00%
Hampton Roads,Music festivals,35.00%
Hampton Roads,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",3.00%
Hampton Roads,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",40.00%
Hampton Roads,Culinary tours/trails (brewery/winery/food),16.00%
Hampton Roads,Nature-based tours/trails,24.00%
Hampton Roads,"Art-based tours/trails (artisan, music)",14.00%
Hampton Roads,Sporting events or tournaments,27.00%
Hampton Roads,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",22.00%
Hampton Roads,Other destination activities,0.00%
Hampton Roads,Hunting,9.00%
Hampton Roads,Picnicking away from home,23.00%
Hampton Roads,Nature study/Nature programs,7.00%
Hampton Roads,Visiting gardens/arboretums,27.00%
Hampton Roads,Bird-watching away from home,4.00%
Hampton Roads,"Visiting parks (local, state & national)",57.00%
Hampton Roads,Visiting historic areas,41.00%
Hampton Roads,Geocaching ,3.00%
Hampton Roads,Viewing scenery,29.00%
Hampton Roads,Dog parks,10.00%
Hampton Roads,Zip line,7.00%
Hampton Roads,RV camping,4.00%
Hampton Roads,Tent camping,12.00%
Hampton Roads,Staying in cabins,8.00%
Hampton Roads,Paddle-in camping,0.00%
Hampton Roads,Visiting private farms and forests,8.00%
Hampton Roads,Gardening,30.00%
Hampton Roads,Visiting playgrounds,23.00%
Hampton Roads,Bicycle touring on roads,12.00%
Hampton Roads,Segway on sidewalks and paths,1.00%
Hampton Roads,Electric-assist bicycle on road or trail,0.00%
Hampton Roads,Orienteering,0.00%
Hampton Roads,Stargazing/Dark skies/Astronomy,11.00%
Hampton Roads,Other activities,1.00%
Hampton Roads,Walking for pleasure,65.00%
Hampton Roads,Jogging/running,31.00%
Hampton Roads,Hiking/backpacking day trips,16.00%
Hampton Roads,Fitness trail (not jogging),12.00%
Hampton Roads,Horseback riding,2.00%
Hampton Roads,Mountain biking,4.00%
Hampton Roads,Paved or gravel bicycle trails,14.00%
Hampton Roads,"Driving 4-wheel off road (Jeep, truck)",2.00%
Hampton Roads,Driving motorcycle off road/dirt bike,2.00%
Hampton Roads,ATV or UTV off road,1.00%
Hampton Roads,Other activities on trails,0.00%
Hampton Roads,Softball,6.00%
Hampton Roads,Baseball,6.00%
Hampton Roads,T-ball,2.00%
Hampton Roads,Soccer,8.00%
Hampton Roads,Rugby,0.00%
Hampton Roads,Football,6.00%
Hampton Roads,Volleyball,5.00%
Hampton Roads,Lacrosse,1.00%
Hampton Roads,Field hockey,1.00%
Hampton Roads,Kickball,4.00%
Hampton Roads,Cheerleading,0.00%
Hampton Roads,Track and field,3.00%
Hampton Roads,Other activities on sports fields ,2.00%
LENOWISCO,Driving for pleasure,79.00%
LENOWISCO,Visiting natural areas,74.00%
LENOWISCO,Equestrian,7.00%
LENOWISCO,Downhill skiing ,1.00%
LENOWISCO,Snowboarding,3.00%
LENOWISCO,"Cross-country skiing, snowshoeing",1.00%
LENOWISCO,Snow sledding/tubing,25.00%
LENOWISCO,Ice skating (outdoor),3.00%
LENOWISCO,Other snow/ice-dependent activities,1.00%
LENOWISCO,Freshwater fishing,58.00%
LENOWISCO,Saltwater fishing,17.00%
LENOWISCO,Sunbathing/relaxing on a beach,37.00%
LENOWISCO,Jet ski/personal watercraft,17.00%
LENOWISCO,Powerboating,17.00%
LENOWISCO,Sailing,1.00%
LENOWISCO,Sail boarding,1.00%
LENOWISCO,Canoeing/kayaking,14.00%
LENOWISCO,Water skiing or towed on water,2.00%
LENOWISCO,Whitewater rafting (guided or solo),4.00%
LENOWISCO,Tubing on water,7.00%
LENOWISCO,Swimming/outdoor pool,47.00%
LENOWISCO,Swimming/beach/lake river (open water),26.00%
LENOWISCO,Crew rowing,0.00%
LENOWISCO,Surfing,1.00%
LENOWISCO,Paddleboarding,2.00%
LENOWISCO,Kiteboarding,1.00%
LENOWISCO,Splash pads,5.00%
LENOWISCO,Viewing the water,28.00%
LENOWISCO,Other water-dependent activities,3.00%
LENOWISCO,Tennis,14.00%
LENOWISCO,Basketball,24.00%
LENOWISCO,Pickle ball,1.00%
LENOWISCO,Shuffleboard,2.00%
LENOWISCO,18-hole golf,6.00%
LENOWISCO,Par-3 golf,0.00%
LENOWISCO,Driving range,4.00%
LENOWISCO,Disc golf,1.00%
LENOWISCO,Racquetball,1.00%
LENOWISCO,Squash,0.00%
LENOWISCO,Miniature golf,12.00%
LENOWISCO,Archery,17.00%
LENOWISCO,Shooting range,23.00%
LENOWISCO,Other activities on courts & golf,1.00%
LENOWISCO,"Visiting working farms, petting zoos, corn mazes, etc. ",38.00%
LENOWISCO,Music festivals,21.00%
LENOWISCO,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",5.00%
LENOWISCO,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",27.00%
LENOWISCO,Culinary tours/trails (brewery/winery/food),7.00%
LENOWISCO,Nature-based tours/trails,19.00%
LENOWISCO,"Art-based tours/trails (artisan, music)",4.00%
LENOWISCO,Sporting events or tournaments,31.00%
LENOWISCO,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",7.00%
LENOWISCO,Other destination activities,0.00%
LENOWISCO,Hunting,39.00%
LENOWISCO,Picnicking away from home,35.00%
LENOWISCO,Nature study/Nature programs,3.00%
LENOWISCO,Visiting gardens/arboretums,3.00%
LENOWISCO,Bird-watching away from home,2.00%
LENOWISCO,"Visiting parks (local, state & national)",56.00%
LENOWISCO,Visiting historic areas,18.00%
LENOWISCO,Geocaching ,1.00%
LENOWISCO,Viewing scenery,23.00%
LENOWISCO,Dog parks,2.00%
LENOWISCO,Zip line,2.00%
LENOWISCO,RV camping,11.00%
LENOWISCO,Tent camping,10.00%
LENOWISCO,Staying in cabins,12.00%
LENOWISCO,Paddle-in camping,0.00%
LENOWISCO,Visiting private farms and forests,5.00%
LENOWISCO,Gardening,23.00%
LENOWISCO,Visiting playgrounds,17.00%
LENOWISCO,Bicycle touring on roads,1.00%
LENOWISCO,Segway on sidewalks and paths,0.00%
LENOWISCO,Electric-assist bicycle on road or trail,0.00%
LENOWISCO,Orienteering,0.00%
LENOWISCO,Stargazing/Dark skies/Astronomy,6.00%
LENOWISCO,Other activities,12.00%
LENOWISCO,Walking for pleasure,61.00%
LENOWISCO,Jogging/running,9.00%
LENOWISCO,Hiking/backpacking day trips,13.00%
LENOWISCO,Fitness trail (not jogging),3.00%
LENOWISCO,Horseback riding,5.00%
LENOWISCO,Mountain biking,1.00%
LENOWISCO,Paved or gravel bicycle trails,4.00%
LENOWISCO,"Driving 4-wheel off road (Jeep, truck)",13.00%
LENOWISCO,Driving motorcycle off road/dirt bike,2.00%
LENOWISCO,ATV or UTV off road,13.00%
LENOWISCO,Other activities on trails,3.00%
LENOWISCO,Softball,5.00%
LENOWISCO,Baseball,25.00%
LENOWISCO,T-ball,0.00%
LENOWISCO,Soccer,2.00%
LENOWISCO,Rugby,1.00%
LENOWISCO,Football,19.00%
LENOWISCO,Volleyball,6.00%
LENOWISCO,Lacrosse,1.00%
LENOWISCO,Field hockey,0.00%
LENOWISCO,Kickball,1.00%
LENOWISCO,Cheerleading,3.00%
LENOWISCO,Track and field,4.00%
LENOWISCO,Other activities on sports fields ,1.00%
Middle Peninsula,Driving for pleasure,65.00%
Middle Peninsula,Visiting natural areas,62.00%
Middle Peninsula,Equestrian,3.00%
Middle Peninsula,Downhill skiing ,5.00%
Middle Peninsula,Snowboarding,8.00%
Middle Peninsula,"Cross-country skiing, snowshoeing",4.00%
Middle Peninsula,Snow sledding/tubing,10.00%
Middle Peninsula,Ice skating (outdoor),4.00%
Middle Peninsula,Other snow/ice-dependent activities,6.00%
Middle Peninsula,Freshwater fishing,33.00%
Middle Peninsula,Saltwater fishing,42.00%
Middle Peninsula,Sunbathing/relaxing on a beach,44.00%
Middle Peninsula,Jet ski/personal watercraft,9.00%
Middle Peninsula,Powerboating,26.00%
Middle Peninsula,Sailing,7.00%
Middle Peninsula,Sail boarding,1.00%
Middle Peninsula,Canoeing/kayaking,32.00%
Middle Peninsula,Water skiing or towed on water,6.00%
Middle Peninsula,Whitewater rafting (guided or solo),1.00%
Middle Peninsula,Tubing on water,7.00%
Middle Peninsula,Swimming/outdoor pool,40.00%
Middle Peninsula,Swimming/beach/lake river (open water),42.00%
Middle Peninsula,Crew rowing,1.00%
Middle Peninsula,Surfing,2.00%
Middle Peninsula,Paddleboarding,5.00%
Middle Peninsula,Kiteboarding,1.00%
Middle Peninsula,Splash pads,0.00%
Middle Peninsula,Viewing the water,48.00%
Middle Peninsula,Other water-dependent activities,6.00%
Middle Peninsula,Tennis,1.00%
Middle Peninsula,Basketball,9.00%
Middle Peninsula,Pickle ball,0.00%
Middle Peninsula,Shuffleboard,1.00%
Middle Peninsula,18-hole golf,12.00%
Middle Peninsula,Par-3 golf,4.00%
Middle Peninsula,Driving range,8.00%
Middle Peninsula,Disc golf,2.00%
Middle Peninsula,Racquetball,0.00%
Middle Peninsula,Squash,0.00%
Middle Peninsula,Miniature golf,7.00%
Middle Peninsula,Archery,9.00%
Middle Peninsula,Shooting range,16.00%
Middle Peninsula,Other activities on courts & golf,0.00%
Middle Peninsula,"Visiting working farms, petting zoos, corn mazes, etc. ",19.00%
Middle Peninsula,Music festivals,21.00%
Middle Peninsula,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",3.00%
Middle Peninsula,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",26.00%
Middle Peninsula,Culinary tours/trails (brewery/winery/food),14.00%
Middle Peninsula,Nature-based tours/trails,16.00%
Middle Peninsula,"Art-based tours/trails (artisan, music)",5.00%
Middle Peninsula,Sporting events or tournaments,20.00%
Middle Peninsula,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",9.00%
Middle Peninsula,Other destination activities,2.00%
Middle Peninsula,Hunting,20.00%
Middle Peninsula,Picnicking away from home,22.00%
Middle Peninsula,Nature study/Nature programs,9.00%
Middle Peninsula,Visiting gardens/arboretums,19.00%
Middle Peninsula,Bird-watching away from home,9.00%
Middle Peninsula,"Visiting parks (local, state & national)",45.00%
Middle Peninsula,Visiting historic areas,38.00%
Middle Peninsula,Geocaching ,1.00%
Middle Peninsula,Viewing scenery,17.00%
Middle Peninsula,Dog parks,7.00%
Middle Peninsula,Zip line,8.00%
Middle Peninsula,RV camping,6.00%
Middle Peninsula,Tent camping,10.00%
Middle Peninsula,Staying in cabins,7.00%
Middle Peninsula,Paddle-in camping,1.00%
Middle Peninsula,Visiting private farms and forests,11.00%
Middle Peninsula,Gardening,37.00%
Middle Peninsula,Visiting playgrounds,17.00%
Middle Peninsula,Bicycle touring on roads,7.00%
Middle Peninsula,Segway on sidewalks and paths,1.00%
Middle Peninsula,Electric-assist bicycle on road or trail,0.00%
Middle Peninsula,Orienteering,1.00%
Middle Peninsula,Stargazing/Dark skies/Astronomy,13.00%
Middle Peninsula,Other activities,0.00%
Middle Peninsula,Walking for pleasure,64.00%
Middle Peninsula,Jogging/running,11.00%
Middle Peninsula,Hiking/backpacking day trips,15.00%
Middle Peninsula,Fitness trail (not jogging),1.00%
Middle Peninsula,Horseback riding,4.00%
Middle Peninsula,Mountain biking,5.00%
Middle Peninsula,Paved or gravel bicycle trails,4.00%
Middle Peninsula,"Driving 4-wheel off road (Jeep, truck)",5.00%
Middle Peninsula,Driving motorcycle off road/dirt bike,2.00%
Middle Peninsula,ATV or UTV off road,5.00%
Middle Peninsula,Other activities on trails,1.00%
Middle Peninsula,Softball,3.00%
Middle Peninsula,Baseball,5.00%
Middle Peninsula,T-ball,2.00%
Middle Peninsula,Soccer,8.00%
Middle Peninsula,Rugby,0.00%
Middle Peninsula,Football,5.00%
Middle Peninsula,Volleyball,5.00%
Middle Peninsula,Lacrosse,1.00%
Middle Peninsula,Field hockey,0.00%
Middle Peninsula,Kickball,3.00%
Middle Peninsula,Cheerleading,1.00%
Middle Peninsula,Track and field,2.00%
Middle Peninsula,Other activities on sports fields ,5.00%
Mount Rogers,Driving for pleasure,76.00%
Mount Rogers,Visiting natural areas,68.00%
Mount Rogers,Equestrian,10.00%
Mount Rogers,Downhill skiing ,8.00%
Mount Rogers,Snowboarding,4.00%
Mount Rogers,"Cross-country skiing, snowshoeing",3.00%
Mount Rogers,Snow sledding/tubing,17.00%
Mount Rogers,Ice skating (outdoor),3.00%
Mount Rogers,Other snow/ice- dependent activities,7.00%
Mount Rogers,Freshwater fishing,44.00%
Mount Rogers,Saltwater fishing,6.00%
Mount Rogers,Sunbathing/relaxing on a beach,36.00%
Mount Rogers,Jet ski/personal watercraft,7.00%
Mount Rogers,Powerboating,14.00%
Mount Rogers,Sailing,2.00%
Mount Rogers,Sail boarding,0.00%
Mount Rogers,Canoeing/kayaking,24.00%
Mount Rogers,Water skiing or towed on water,3.00%
Mount Rogers,Whitewater rafting (guided or solo),5.00%
Mount Rogers,Tubing on water,16.00%
Mount Rogers,Swimming/outdoor pool,36.00%
Mount Rogers,Swimming/beach/lake river (open water),29.00%
Mount Rogers,Crew rowing,0.00%
Mount Rogers,Surfing,1.00%
Mount Rogers,Paddleboarding,4.00%
Mount Rogers,Kiteboarding,0.00%
Mount Rogers,Splash pads,3.00%
Mount Rogers,Viewing the water,33.00%
Mount Rogers,Other water-dependent activities,2.00%
Mount Rogers,Tennis,6.00%
Mount Rogers,Basketball,8.00%
Mount Rogers,Pickle ball,0.00%
Mount Rogers,Shuffleboard,0.00%
Mount Rogers,18-hole golf,13.00%
Mount Rogers,Par-3 golf,0.00%
Mount Rogers,Driving range,5.00%
Mount Rogers,Disc golf,6.00%
Mount Rogers,Racquetball,1.00%
Mount Rogers,Squash,0.00%
Mount Rogers,Miniature golf,7.00%
Mount Rogers,Archery,4.00%
Mount Rogers,Shooting range,13.00%
Mount Rogers,Other activities on courts & golf,1.00%
Mount Rogers,"Visiting working farms, petting zoos, corn mazes, etc. ",25.00%
Mount Rogers,Music festivals,36.00%
Mount Rogers,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",6.00%
Mount Rogers,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",34.00%
Mount Rogers,Culinary tours/trails (brewery/winery/food),10.00%
Mount Rogers,Nature-based tours/trails,26.00%
Mount Rogers,"Art-based tours/trails (artisan, music)",4.00%
Mount Rogers,Sporting events or tournaments,26.00%
Mount Rogers,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",17.00%
Mount Rogers,Other destination activities,0.00%
Mount Rogers,Hunting,28.00%
Mount Rogers,Picnicking away from home,29.00%
Mount Rogers,Nature study/Nature programs,5.00%
Mount Rogers,Visiting gardens/arboretums,13.00%
Mount Rogers,Bird-watching away from home,4.00%
Mount Rogers,"Visiting parks (local, state & national)",48.00%
Mount Rogers,Visiting historic areas,20.00%
Mount Rogers,Geocaching ,5.00%
Mount Rogers,Viewing scenery,34.00%
Mount Rogers,Dog parks,8.00%
Mount Rogers,Zip line,6.00%
Mount Rogers,RV camping,13.00%
Mount Rogers,Tent camping,15.00%
Mount Rogers,Staying in cabins,10.00%
Mount Rogers,Paddle-in camping,4.00%
Mount Rogers,Visiting private farms and forests,4.00%
Mount Rogers,Gardening,25.00%
Mount Rogers,Visiting playgrounds,16.00%
Mount Rogers,Bicycle touring on roads,5.00%
Mount Rogers,Segway on sidewalks and paths,0.00%
Mount Rogers,Electric-assist bicycle on road or trail,2.00%
Mount Rogers,Orienteering,0.00%
Mount Rogers,Stargazing/Dark skies/Astronomy,13.00%
Mount Rogers,Other activities,5.00%
Mount Rogers,Walking for pleasure,62.00%
Mount Rogers,Jogging/running,12.00%
Mount Rogers,Hiking/backpacking day trips,19.00%
Mount Rogers,Fitness trail (not jogging),13.00%
Mount Rogers,Horseback riding,5.00%
Mount Rogers,Mountain biking,10.00%
Mount Rogers,Paved or gravel bicycle trails,10.00%
Mount Rogers,"Driving 4-wheel off road (Jeep, truck)",5.00%
Mount Rogers,Driving motorcycle off road/dirt bike,3.00%
Mount Rogers,ATV or UTV off road,7.00%
Mount Rogers,Other activities on trails,3.00%
Mount Rogers,Softball,5.00%
Mount Rogers,Baseball,10.00%
Mount Rogers,T-ball,5.00%
Mount Rogers,Soccer,7.00%
Mount Rogers,Rugby,0.00%
Mount Rogers,Football,15.00%
Mount Rogers,Volleyball,4.00%
Mount Rogers,Lacrosse,1.00%
Mount Rogers,Field hockey,1.00%
Mount Rogers,Kickball,2.00%
Mount Rogers,Cheerleading,1.00%
Mount Rogers,Track and field,4.00%
Mount Rogers,Other activities on sports fields ,0.00%
New River Valley,Driving for pleasure,74.00%
New River Valley,Visiting natural areas,76.00%
New River Valley,Equestrian,5.00%
New River Valley,Downhill skiing ,6.00%
New River Valley,Snowboarding,8.00%
New River Valley,"Cross-country skiing, snowshoeing",0.00%
New River Valley,Snow sledding/tubing,29.00%
New River Valley,Ice skating (outdoor),5.00%
New River Valley,Other snow/ice-dependent activities,9.00%
New River Valley,Freshwater fishing,51.00%
New River Valley,Saltwater fishing,9.00%
New River Valley,Sunbathing/relaxing on a beach,54.00%
New River Valley,Jet ski/personal watercraft,10.00%
New River Valley,Powerboating,20.00%
New River Valley,Sailing,4.00%
New River Valley,Sail boarding,0.00%
New River Valley,Canoeing/kayaking,34.00%
New River Valley,Water skiing or towed on water,16.00%
New River Valley,Whitewater rafting (guided or solo),5.00%
New River Valley,Tubing on water,31.00%
New River Valley,Swimming/outdoor pool,46.00%
New River Valley,Swimming/beach/lake river (open water),47.00%
New River Valley,Crew rowing,0.00%
New River Valley,Surfing,1.00%
New River Valley,Paddleboarding,5.00%
New River Valley,Kiteboarding,0.00%
New River Valley,Splash pads,3.00%
New River Valley,Viewing the water,37.00%
New River Valley,Other water-dependent activities,1.00%
New River Valley,Tennis,3.00%
New River Valley,Basketball,13.00%
New River Valley,Pickle ball,2.00%
New River Valley,Shuffleboard,0.00%
New River Valley,18-hole golf,15.00%
New River Valley,Par-3 golf,6.00%
New River Valley,Driving range,10.00%
New River Valley,Disc golf,14.00%
New River Valley,Racquetball,1.00%
New River Valley,Squash,0.00%
New River Valley,Miniature golf,23.00%
New River Valley,Archery,4.00%
New River Valley,Shooting range,18.00%
New River Valley,Other activities on courts & golf,2.00%
New River Valley,"Visiting working farms, petting zoos, corn mazes, etc. ",27.00%
New River Valley,Music festivals,31.00%
New River Valley,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",2.00%
New River Valley,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",43.00%
New River Valley,Culinary tours/trails (brewery/winery/food),14.00%
New River Valley,Nature-based tours/trails,30.00%
New River Valley,"Art-based tours/trails (artisan, music)",9.00%
New River Valley,Sporting events or tournaments,29.00%
New River Valley,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",19.00%
New River Valley,Other destination activities,2.00%
New River Valley,Hunting,20.00%
New River Valley,Picnicking away from home,28.00%
New River Valley,Nature study/Nature programs,10.00%
New River Valley,Visiting gardens/arboretums,29.00%
New River Valley,Bird-watching away from home,6.00%
New River Valley,"Visiting parks (local, state & national)",61.00%
New River Valley,Visiting historic areas,33.00%
New River Valley,Geocaching ,1.00%
New River Valley,Viewing scenery,27.00%
New River Valley,Dog parks,9.00%
New River Valley,Zip line,4.00%
New River Valley,RV camping,5.00%
New River Valley,Tent camping,24.00%
New River Valley,Staying in cabins,15.00%
New River Valley,Paddle-in camping,0.00%
New River Valley,Visiting private farms and forests,12.00%
New River Valley,Gardening,27.00%
New River Valley,Visiting playgrounds,18.00%
New River Valley,Bicycle touring on roads,7.00%
New River Valley,Segway on sidewalks and paths,3.00%
New River Valley,Electric-assist bicycle on road or trail,0.00%
New River Valley,Orienteering,1.00%
New River Valley,Stargazing/Dark skies/Astronomy,10.00%
New River Valley,Other activities,3.00%
New River Valley,Walking for pleasure,76.00%
New River Valley,Jogging/running,33.00%
New River Valley,Hiking/backpacking day trips,26.00%
New River Valley,Fitness trail (not jogging),4.00%
New River Valley,Horseback riding,3.00%
New River Valley,Mountain biking,3.00%
New River Valley,Paved or gravel bicycle trails,15.00%
New River Valley,"Driving 4-wheel off road (Jeep, truck)",11.00%
New River Valley,Driving motorcycle off road/dirt bike,3.00%
New River Valley,ATV or UTV off road,10.00%
New River Valley,Other activities on trails,0.00%
New River Valley,Softball,7.00%
New River Valley,Baseball,4.00%
New River Valley,T-ball,0.00%
New River Valley,Soccer,12.00%
New River Valley,Rugby,0.00%
New River Valley,Football,7.00%
New River Valley,Volleyball,2.00%
New River Valley,Lacrosse,0.00%
New River Valley,Field hockey,0.00%
New River Valley,Kickball,0.00%
New River Valley,Cheerleading,1.00%
New River Valley,Track and field,0.00%
New River Valley,Other activities on sports fields ,4.00%
Northern Neck,Driving for pleasure,65.00%
Northern Neck,Visiting natural areas,62.00%
Northern Neck,Equestrian,3.00%
Northern Neck,Downhill skiing ,5.00%
Northern Neck,Snowboarding,8.00%
Northern Neck,"Cross-country skiing, snowshoeing",4.00%
Northern Neck,Snow sledding/tubing,10.00%
Northern Neck,Ice skating (outdoor),4.00%
Northern Neck,Other snow/ice-dependent activities,6.00%
Northern Neck,Freshwater fishing,33.00%
Northern Neck,Saltwater fishing,42.00%
Northern Neck,Sunbathing/relaxing on a beach,44.00%
Northern Neck,Jet ski/personal watercraft,9.00%
Northern Neck,Powerboating,26.00%
Northern Neck,Sailing,7.00%
Northern Neck,Sail boarding,1.00%
Northern Neck,Canoeing/kayaking,32.00%
Northern Neck,Water skiing or towed on water,6.00%
Northern Neck,Whitewater rafting (guided or solo),1.00%
Northern Neck,Tubing on water,7.00%
Northern Neck,Swimming/outdoor pool,40.00%
Northern Neck,Swimming/beach/lake river (open water),42.00%
Northern Neck,Crew rowing,1.00%
Northern Neck,Surfing,2.00%
Northern Neck,Paddleboarding,5.00%
Northern Neck,Kiteboarding,1.00%
Northern Neck,Splash pads,0.00%
Northern Neck,Viewing the water,48.00%
Northern Neck,Other water-dependent activities,6.00%
Northern Neck,Tennis,1.00%
Northern Neck,Basketball,9.00%
Northern Neck,Pickle ball,0.00%
Northern Neck,Shuffleboard,1.00%
Northern Neck,18-hole golf,12.00%
Northern Neck,Par-3 golf,4.00%
Northern Neck,Driving range,8.00%
Northern Neck,Disc golf,2.00%
Northern Neck,Racquetball,0.00%
Northern Neck,Squash,0.00%
Northern Neck,Miniature golf,7.00%
Northern Neck,Archery,9.00%
Northern Neck,Shooting range,16.00%
Northern Neck,Other activities on courts & golf,0.00%
Northern Neck,"Visiting working farms, petting zoos, corn mazes, etc. ",19.00%
Northern Neck,Music festivals,21.00%
Northern Neck,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",3.00%
Northern Neck,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",26.00%
Northern Neck,Culinary tours/trails (brewery/winery/food),14.00%
Northern Neck,Nature-based tours/trails,16.00%
Northern Neck,"Art-based tours/trails (artisan, music)",5.00%
Northern Neck,Sporting events or tournaments,20.00%
Northern Neck,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",9.00%
Northern Neck,Other destination activities,2.00%
Northern Neck,Hunting,20.00%
Northern Neck,Picnicking away from home,22.00%
Northern Neck,Nature study/Nature programs,9.00%
Northern Neck,Visiting gardens/arboretums,19.00%
Northern Neck,Bird-watching away from home,9.00%
Northern Neck,"Visiting parks (local, state & national)",45.00%
Northern Neck,Visiting historic areas,38.00%
Northern Neck,Geocaching ,1.00%
Northern Neck,Viewing scenery,17.00%
Northern Neck,Dog parks,7.00%
Northern Neck,Zip line,8.00%
Northern Neck,RV camping,6.00%
Northern Neck,Tent camping,10.00%
Northern Neck,Staying in cabins,7.00%
Northern Neck,Paddle-in camping,1.00%
Northern Neck,Visiting private farms and forests,11.00%
Northern Neck,Gardening,37.00%
Northern Neck,Visiting playgrounds,17.00%
Northern Neck,Bicycle touring on roads,7.00%
Northern Neck,Segway on sidewalks and paths,1.00%
Northern Neck,Electric-assist bicycle on road or trail,0.00%
Northern Neck,Orienteering,1.00%
Northern Neck,Stargazing/Dark skies/Astronomy,13.00%
Northern Neck,Other activities,0.00%
Northern Neck,Walking for pleasure,64.00%
Northern Neck,Jogging/running,11.00%
Northern Neck,Hiking/backpacking day trips,15.00%
Northern Neck,Fitness trail (not jogging),1.00%
Northern Neck,Horseback riding,4.00%
Northern Neck,Mountain biking,5.00%
Northern Neck,Paved or gravel bicycle trails,4.00%
Northern Neck,"Driving 4-wheel off road (Jeep, truck)",5.00%
Northern Neck,Driving motorcycle off road/dirt bike,2.00%
Northern Neck,ATV or UTV off road,5.00%
Northern Neck,Other activities on trails,1.00%
Northern Neck,Softball,3.00%
Northern Neck,Baseball,5.00%
Northern Neck,T-ball,2.00%
Northern Neck,Soccer,8.00%
Northern Neck,Rugby,0.00%
Northern Neck,Football,5.00%
Northern Neck,Volleyball,5.00%
Northern Neck,Lacrosse,1.00%
Northern Neck,Field hockey,0.00%
Northern Neck,Kickball,3.00%
Northern Neck,Cheerleading,1.00%
Northern Neck,Track and field,2.00%
Northern Neck,Other activities on sports fields ,5.00%
Northern Shenandoah Valley,Driving for pleasure,65.00%
Northern Shenandoah Valley,Visiting natural areas,71.00%
Northern Shenandoah Valley,Equestrian,7.00%
Northern Shenandoah Valley,Downhill skiing ,8.00%
Northern Shenandoah Valley,Snowboarding,4.00%
Northern Shenandoah Valley,"Cross-country skiing, snowshoeing",2.00%
Northern Shenandoah Valley,Snow sledding/tubing,12.00%
Northern Shenandoah Valley,Ice skating (outdoor),15.00%
Northern Shenandoah Valley,Other snow/ice-dependent activities,3.00%
Northern Shenandoah Valley,Freshwater fishing,38.00%
Northern Shenandoah Valley,Saltwater fishing,7.00%
Northern Shenandoah Valley,Sunbathing/relaxing on a beach,34.00%
Northern Shenandoah Valley,Jet ski/personal watercraft,3.00%
Northern Shenandoah Valley,Powerboating,11.00%
Northern Shenandoah Valley,Sailing,4.00%
Northern Shenandoah Valley,Sail boarding,0.00%
